beta2    beta3    others
-0.50    0.01     0.00      
-0.30    0.01     0.00      
-0.10    0.01     0.00  
 0.00    0.01     0.00
 0.50    0.01     0.00    
 0.30    0.01     0.00        
 0.10    0.01     0.00  
